ID,IC,FII,body_part,dry_weight
71,0.25,23,drythor,5.26
71,0.25,23,dryrest,8.98
71,0.25,23,drytotal,14.24
72,0.25,84,drythor,5.29
72,0.25,84,dryrest,8.6
72,0.25,84,drytotal,13.89
73,0.25,20,drythor,5.27
73,0.25,20,dryrest,6.2
73,0.25,20,drytotal,11.469999999999999
75,0.25,43,drythor,5.27
75,0.25,43,dryrest,7.68
75,0.25,43,drytotal,12.95
76,0.25,98,drythor,4.63
76,0.25,98,dryrest,5.72
76,0.25,98,drytotal,10.35
77,0.25,23,drythor,5.74
77,0.25,23,dryrest,6.68
77,0.25,23,drytotal,12.42
78,0.25,28,drythor,6.3
78,0.25,28,dryrest,10.24
78,0.25,28,drytotal,16.54
79,0.25,24,drythor,5.37
79,0.25,24,dryrest,9.34
79,0.25,24,drytotal,14.71
80,0,60,drythor,5.79
80,0,60,dryrest,10.03
80,0,60,drytotal,15.82
81,0,72,drythor,4.85
81,0,72,dryrest,6.03
81,0,72,drytotal,10.879999999999999
82,0,55,drythor,3.93
82,0,55,dryrest,5.92
82,0,55,drytotal,9.85
83,0,46,drythor,5.69
83,0,46,dryrest,12.02
83,0,46,drytotal,17.71
84,0,70,drythor,5.78
84,0,70,dryrest,12.06
84,0,70,drytotal,17.84
85,0,43,drythor,5.56
85,0,43,dryrest,11.41
85,0,43,drytotal,16.97
86,0,22,drythor,5.61
86,0,22,dryrest,10.78
86,0,22,drytotal,16.39
87,0,68,drythor,5.83
87,0,68,dryrest,5.74
87,0,68,drytotal,11.57
88,0,21,drythor,5.68
88,0,21,dryrest,6.22
88,0,21,drytotal,11.899999999999999
90,0,28,drythor,5.21
90,0,28,dryrest,6.32
90,0,28,drytotal,11.530000000000001
91,0,42,drythor,5.62
91,0,42,dryrest,7.89
91,0,42,drytotal,13.51
92,0,54,drythor,4.75
92,0,54,dryrest,8.73
92,0,54,drytotal,13.48
93,0,46,drythor,5.47
93,0,46,dryrest,9.42
93,0,46,drytotal,14.89
94,0.375,59,drythor,6.01
94,0.375,59,dryrest,9.28
94,0.375,59,drytotal,15.29
95,0,28,drythor,3.8
95,0,28,dryrest,4.76
95,0,28,drytotal,8.559999999999999
96,0,40,drythor,3.92
96,0,40,dryrest,5.03
96,0,40,drytotal,8.95
97,0.25,62,drythor,4.36
97,0.25,62,dryrest,4.82
97,0.25,62,drytotal,9.18
98,0.25,43,drythor,5.69
98,0.25,43,dryrest,8.48
98,0.25,43,drytotal,14.170000000000002
99,0,57,drythor,5.13
99,0,57,dryrest,4.96
99,0,57,drytotal,10.09
102,0.25,59,drythor,5.4
102,0.25,59,dryrest,6.1
102,0.25,59,drytotal,11.5
103,0.25,60,drythor,5.59
103,0.25,60,dryrest,6.53
103,0.25,60,drytotal,12.120000000000001
104,0.25,37,drythor,4.22
104,0.25,37,dryrest,4.54
104,0.25,37,drytotal,8.76
105,0.25,51,drythor,6.61
105,0.25,51,dryrest,7.75
105,0.25,51,drytotal,14.36
106,0.25,77,drythor,4.95
106,0.25,77,dryrest,5.34
106,0.25,77,drytotal,10.29
107,0.25,54,drythor,5.38
107,0.25,54,dryrest,6.39
107,0.25,54,drytotal,11.77
